gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
MIF4GD,-74.62630467547595,467,-192.02050307476034,467,117.39419839928439,240
KIF26A,-46.056723276774086,3,-163.24417622884116,3,117.18745295206708,241
TMEM87B,-77.0925900053905,327,-194.16716862016497,327,117.07457861477447,242
TNFRSF14,-90.01638763252346,522,-206.67390129118587,522,116.65751365866241,243
GRTP1,-62.443377564855886,177,-179.01626517947784,177,116.57288761462195,244
CCDC85C,-57.16606470743815,165,-173.7210205078125,165,116.55495580037436,245
BRICD5,-77.7830356798674,38,-194.29570649799547,38,116.51267081812807,246
PTOV1-AS2,-97.7464828491211,1,-213.9219970703125,1,116.1755142211914,247
KCNJ14,-91.49834180234083,67,-207.66914026061102,67,116.17079845827018,248
SPIB,-85.1330322265625,15,-201.23018900553384,15,116.09715677897134,249
PEX10,-79.25034427994731,271,-195.30617694925118,271,116.05583266930387,250
NLRC3,-74.41026136610243,9,-190.3969506157769,9,115.98668924967446,251
CCDC154,-85.78582305908203,15,-201.72377319335936,15,115.93795013427733,252
KRT17,-87.98631699617243,242,-203.55814027392174,242,115.5718232777493,253
LRRC55,-90.79061126708984,3,-206.01229349772134,3,115.2216822306315,254
DIO3OS,-80.76906344095866,60,-195.7661595662435,60,114.99709612528483,255
IGKC,-75.68814069574529,880,-190.36463175686922,880,114.67649106112393,256
FAM89B,-54.90789288764633,618,-169.53671454766035,618,114.62882166001403,257
LOXL4,-67.25724236170451,48,-181.3500690460205,48,114.092826684316,258
PWWP2B,-90.89449664845186,340,-204.88397441190833,340,113.98947776345646,259
VPS9D1-AS1,-54.2084698677063,16,-167.85303497314453,16,113.64456510543823,260
CMIP,-52.45641916520368,482,-165.98655735506557,482,113.5301381898619,261
RPL36,-102.26452276941477,2163,-215.61716889739864,2163,113.35264612798387,262
HOOK2,-99.45302644574471,1045,-212.64187912644383,1045,113.18885268069911,263
OCA2,-189.79470825195312,2,-302.9605712890625,2,113.16586303710938,264
KIF21B,-70.8684216667624,17,-183.97043474982766,17,113.10201308306526,265
SLC22A31,-65.23593167445456,1290,-178.1298384910406,1290,112.89390681658604,266
LENG9,-83.83695171951155,109,-196.70612020230075,109,112.8691684827892,267
TNFRSF1B,-49.45265477948484,113,-162.2565592537939,113,112.80390447430906,268
PANO1,-98.42696925571987,7,-210.89977155412947,7,112.4728022984096,269
SLC7A5,-84.21741361503142,166,-196.58254738313607,166,112.36513376810466,270
CHST1,-61.25771255493164,5,-173.47706909179686,5,112.21935653686522,271
CD300C,-111.41777352725758,17,-223.5442612591912,17,112.12648773193361,272
SLC25A34,-87.66475954922763,11,-199.60531616210938,11,111.94055661288175,273
HSPB7,-115.72894439697265,15,-227.34667053222657,15,111.61772613525392,274
SLC22A18AS,-93.97326923017742,119,-205.4419664655413,119,111.46869723536388,275
NYNRIN,-96.57810820302656,124,-208.01456623692667,124,111.43645803390011,276
TMEM59L,-64.89612395675094,54,-176.2968899762189,54,111.40076601946795,277
CRABP2,-63.80624786494103,521,-174.96793630530416,521,111.16168844036314,278
C1QL1,-56.57298965454102,10,-167.16936187744142,10,110.5963722229004,279
TMEM204,-119.55584971110027,3,-229.9158935546875,3,110.36004384358723,280
ANKRD13D,-65.50466296599083,388,-175.54296741288962,388,110.03830444689879,281
KHK,-90.06154348336014,51,-199.87530218386183,51,109.8137587005017,282
VWA1,-83.7340973469895,777,-193.49024287828914,777,109.75614553129964,283
C2CD4C,-68.79826545715332,12,-178.53816095987955,12,109.73989550272623,284
HSD3B7,-86.75097312927247,140,-196.35839146205356,140,109.6074183327811,285
MC1R,-96.67854871906218,61,-206.2213254834785,61,109.54277676441632,286
KIF7,-117.03887059138371,13,-226.52393165001502,13,109.4850610586313,287
PLD4,-86.48330332438151,15,-195.6683563232422,15,109.18505299886068,288
NTF4,-101.91118232876647,51,-211.02426476572074,51,109.11308243695427,289
TNNT2,-94.2978524847345,91,-202.9986082642943,91,108.70075577955978,290
POTEI,-81.7617416381836,1,-190.41929626464844,1,108.65755462646484,291
RHBDL3,-56.97892608642578,5,-165.6012939453125,5,108.62236785888672,292
MEGF11,-60.936405637371,134,-169.17606866181785,134,108.23966302444686,293
VDR,-100.23342059166022,343,-208.1914211973852,343,107.95800060572499,294
KNDC1,-58.71267213576879,156,-166.5669193756886,156,107.8542472399198,295
MMP23B,-89.26948170722285,79,-196.9865438726884,79,107.71706216546555,296
FAM41C,-111.31359806060792,80,-219.01397705078125,80,107.70037899017333,297
MBOAT7,-99.57865725136477,566,-207.2688909469982,566,107.69023369563342,298
CSNK1G2-AS1,-95.3154067993164,1,-202.9024200439453,1,107.5870132446289,299
KRT19,-100.4904206481362,1922,-207.8918699171243,1922,107.4014492689881,300
SREBF1,-56.1255147554124,467,-163.50258239484702,467,107.37706763943463,301
MCF2L,-70.74879837036133,150,-178.01507720947265,150,107.26627883911132,302
NR2F6,-54.34710226293977,771,-161.1658805322709,771,106.81877826933113,303
TNFRSF18,-62.37897302133066,135,-169.12630694354021,135,106.74733392220955,304
IRF7,-63.589107347282386,574,-170.18268096073163,574,106.59357361344925,305
BGLAP,-79.12529615922408,11,-185.66121604225853,11,106.53591988303445,306
RNF213,-67.7622167664577,913,-174.26161056802673,913,106.49939380156903,307
EPHB2,-54.6904856717145,108,-161.14883465237088,108,106.45834898065638,308
SCARF1,-89.43653457883805,189,-195.87645854647198,189,106.43992396763393,309
HSF4,-123.95671960691743,151,-230.15531395918487,151,106.19859435226743,310
GAS6-AS1,-79.99362803614417,43,-186.16206927632177,43,106.1684412401776,311
HS3ST6,-113.30684783493263,69,-219.39970574862716,69,106.09285791369453,312
RUSC1,-92.83787475837455,364,-198.8869171142578,364,106.04904235588326,313
ZG16B,-117.05846048619625,137,-223.06979459219605,137,106.0113341059998,314
MESP1,-48.98650404860854,537,-154.67494568212072,537,105.68844163351218,315
EVPLL,-71.39991705758231,42,-176.90155465262276,42,105.50163759504045,316
EPS8L2,-99.98486646286985,705,-205.34369604232464,705,105.35882957945479,317
HES4,-82.37032369405281,595,-187.47013406192556,595,105.09981036787275,318
BST2,-68.55048873144885,827,-173.48368721054428,827,104.93319847909542,319
KRTAP5-AS1,-78.99655205862862,14,-183.81331743512834,14,104.81676537649972,320
CACNA1H,-64.06232376098633,10,-168.5239456176758,10,104.46162185668946,321
BCDIN3D-AS1,-79.90226135253906,10,-184.281884765625,10,104.37962341308594,322
DIRAS1,-65.19007096467195,27,-169.33321634928384,27,104.1431453846119,323
SLC50A1,-92.6211722939008,746,-196.75345343623022,746,104.13228114232942,324
GPN1,-161.86983624950642,277,-265.6344037107612,277,103.76456746125479,325
FOXD2,-47.82104738297001,31,-151.56339633080268,31,103.74234894783267,326
PKDCC,-51.96682635220614,22,-155.58181762695312,22,103.61499127474698,327
RASA3,-152.7286728839485,49,-256.237795148577,49,103.5091222646285,328
CLCNKA,-102.19988861083985,15,-205.70230204264323,15,103.50241343180338,329
STAT2,-76.38880549404686,401,-179.37351175436652,401,102.98470626031965,330
TOP3A,-154.2946538289388,90,-257.12774471706814,90,102.83309088812933,331
CNFN,-80.57835488367563,198,-183.3205188019107,198,102.74216391823508,332
EVPL,-59.84080219268799,448,-162.07259021486556,448,102.23178802217757,333
NHLRC4,-107.88625471662768,101,-209.9089511078183,101,102.02269639119062,334
CDH5,-142.71097819010416,12,-244.6844139099121,12,101.97343571980795,335
NRXN2,-90.7504619251598,11,-192.43410977450284,11,101.68364784934305,336
POU3F1,-100.92070812649197,36,-202.53071043226453,36,101.61000230577255,337
PSME2,-64.97080297646951,1402,-166.5453949301117,1402,101.5745919536422,338
C14orf180,-89.08589935302734,1,-190.32408142089844,1,101.2381820678711,339
RBFOX3,-92.25185902913411,3,-193.4829559326172,3,101.23109690348308,340
