gene,count_cancer,count_normal,S(gene),count_total
ZNF14,25,14,-1.137836163,39
MFSD5,158,90,-1.157934712,248
FJX1,19,10,-1.179956633,29
MEF2D,253,176,-1.210273618,429
EPN3,93,34,-1.244637737,127
YARS2,88,59,-1.264249425,147
IVL,40,2,-1.302693322,42
ONECUT2,17,2,-1.369528118,19
SIPA1L3,193,127,-1.396801877,320
ADPRHL1,39,28,-1.475761186,67
CCSAP,29,16,-1.493753221,45
METTL4,68,52,-1.534645208,120
GEMIN2,83,56,-1.543854144,139
LRRN2,13,1,-1.576523917,14
TOMM40,368,258,-1.595760833,626
RNF121,120,79,-1.622252728,199
UGGT1,153,109,-1.623624874,262
SVBP,342,217,-1.661596486,559
CCDC88B,144,102,-1.670083395,246
SNX11,97,56,-1.698494481,153
ZMYM5,129,98,-1.735428058,227
ZNF93,39,14,-1.776584265,53
PLEKHF1,118,34,-1.779739581,152
NCDN,59,36,-1.81978808,95
MUC16,128,34,-1.836686782,162
NFRKB,160,89,-1.885265825,249
TUBB8,7,4,-1.897314939,11
TUFT1,213,82,-1.925544713,295
SEC24C,232,153,-2.005816948,385
NUDT17,38,21,-2.031410217,59
STON2,43,11,-2.059543186,54
FBXO28,197,143,-2.071623208,340
RSPRY1,204,116,-2.085435963,320
ERBB2,517,284,-2.104258753,801
C19orf48,271,128,-2.118304795,399
ABHD1,7,3,-2.162548828,10
DGKE,26,17,-2.192958566,43
SEC23IP,201,147,-2.292684555,348
MARVELD1,109,81,-2.313912522,190
INPP4A,132,67,-2.329557026,199
PHKG2,216,146,-2.374322575,362
CAD,75,37,-2.443532194,112
ACTA2,73,30,-2.466997461,103
EPS8L1,198,145,-2.474325174,343
LINC00511,160,59,-2.51433612,219
HTATIP2,430,219,-2.582702601,649
LCOR,231,164,-2.597880554,395
TMEM145,11,2,-2.616833613,13
LINC00926,15,7,-2.622973702,22
BCL2L12,271,193,-2.635767526,464
PC,88,34,-2.646375375,122
ZNF222,17,5,-2.663477117,22
ZSCAN2,41,16,-2.666994998,57
PPL,374,270,-2.703157816,644
RND3,370,260,-2.703587051,630
CDK5RAP3,370,277,-2.759124532,647
